epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,508.247,0.96896,0.58266,1.21398,0.70616,0.7609,0.73696,0.37517,1.92922,1.17542,2.24448,0.0001486,0.0001486,0.0001486
88,592.581,0.94544,0.56597,1.21401,0.70786,0.78648,0.74411,0.412,1.95335,1.18745,2.30751,0.0001387,0.0001387,0.0001387
89,678.46,0.99759,0.59816,1.24396,0.71943,0.75922,0.73697,0.38746,1.93867,1.2117,2.25052,0.0001288,0.0001288,0.0001288
90,763.027,0.98964,0.59384,1.23922,0.72281,0.7386,0.72749,0.38774,1.93539,1.1578,2.2406,0.0001189,0.0001189,0.0001189
91,849.445,1.07975,0.58401,1.34201,0.68092,0.77374,0.75479,0.42589,1.93117,1.12284,2.23225,0.000109,0.000109,0.000109
92,933.888,1.04676,0.57008,1.31353,0.56297,0.81333,0.65743,0.35876,1.91359,1.13298,2.20497,9.91e-05,9.91e-05,9.91e-05
93,1019.36,1.02976,0.54794,1.30831,0.60775,0.79458,0.65058,0.33218,1.92033,1.14516,2.21414,8.92e-05,8.92e-05,8.92e-05
94,1103.7,1.02428,0.54987,1.29917,0.6434,0.78189,0.76627,0.39625,1.92798,1.13048,2.22899,7.93e-05,7.93e-05,7.93e-05
95,1189.48,1.00771,0.54196,1.28071,0.7135,0.76622,0.77742,0.39946,1.91832,1.1214,2.20783,6.94e-05,6.94e-05,6.94e-05
96,1275.34,1.00268,0.53274,1.28919,0.73418,0.78234,0.7684,0.39021,1.92848,1.14492,2.22479,5.95e-05,5.95e-05,5.95e-05
97,1360.03,0.99617,0.53476,1.27696,0.72668,0.79205,0.7678,0.39726,1.92828,1.13074,2.23655,4.96e-05,4.96e-05,4.96e-05
98,1446,0.99378,0.52633,1.2848,0.73175,0.77844,0.76445,0.39435,1.93389,1.13143,2.25019,3.97e-05,3.97e-05,3.97e-05
99,1530.39,0.98067,0.53335,1.28322,0.74596,0.76944,0.75847,0.39131,1.94482,1.14235,2.25366,2.98e-05,2.98e-05,2.98e-05
100,1616.59,0.98151,0.5184,1.27319,0.74892,0.77173,0.76107,0.39326,1.93733,1.1383,2.24849,1.99e-05,1.99e-05,1.99e-05
